Mon,FarASName,FarASN,FarIP,NearIP,far_p,near_p,far_diff,near_diff,code,far_cong_loss_rate,far_uncong_loss_rate,near_cong_loss_rate,near_uncong_loss_rate,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.69,68.1.4.133,1,0,0.06,0.083,success-CorrelationNotSignificant,0.103,0.043,0.02,0.039,07_01_2017_07_31_2017,237377,48,1524980981,591642,511,494990,1358319,3160401320
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.73,68.1.0.250,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.77,68.1.0.250,1,0,0.063,0.063,success-CorrelationNotSignificant,0.093,0.03,0.03,0.057,07_01_2017_07_31_2017,461514,140,3621881434,2047620,453,484951,1129395,3800399617
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.85,68.1.0.250,1,0,0.035,0.061,success-CorrelationNotSignificant,0.091,0.056,0.03,0.057,07_01_2017_07_31_2017,464443,141,3189322207,1803089,422,463429,1792720,3182613299
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.89,68.1.0.254,1,0,0.106,0.125,success-CorrelationNotSignificant,0.159,0.053,0.034,0.098,07_01_2017_07_31_2017,480136,164,2989952860,2922004,671,420337,1397395,2644825565
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.93,68.1.2.109,1,1,0.055,1.078,success-NoPower,0.078,0.023,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,67,85284,154905,684506450
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.97,68.1.2.109,1,0.114,0.046,-0.016,failure-NearCongLower-NotSignificant,0.068,0.022,0.084,0.231,07_01_2017_07_31_2017,474604,401,3695947062,8558334,62,91538,155998,721006812
msy-us,LEVEL3 Level 3 Communications,3356,4.59.34.37,68.11.14.136,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,LEVEL3 Level 3 Communications,3356,4.59.34.41,68.1.4.133,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,LEVEL3 Level 3 Communications,3356,4.71.122.21,68.1.2.109,1,0.805,0.051,0.002,failure-NearCongLower-NotSignificant,0.088,0.037,0.086,0.231,07_01_2017_07_31_2017,482418,413,3880120804,8984778,80,90966,276014,742510874
